xdr_hash,total_fees,total_inclusion_fees,classic_ops,classic_non_dex_txs,classic_non_dex_txs_base_fee,classic_dex_txs,classic_dex_txs_base_fee,soroban_ops,soroban_base_fee,insns,disk_read_bytes,write_bytes,disk_read_entries,write_entries,tx_size_bytes
2a235d570a2f48798c20bd0eb8f4f83dcb5d14170d1373f4b520f6c475cf8c44,800157522,547616,288,39,475,0,0,13,1594,820556518,203342,157838,445,206,451628
5590995f1da6f79e237f4f18cb8c95c0fbbfd79ccbe9df39ee1d3f6f628fbea3,600041892,201992,336,5,100,0,0,12,691,396838591,186399,85280,696,118,166804
70ac991d333ee550db195392f18470db43b0cface1c5ffd2e5cbcaf4f5bbe4ca,400037404,108105,313,66,100,25,141,7,380,227837729,282776,30889,623,63,530204
0dd092373047724a92d9d0803a2bd69edcac3a874052c19501bb591cb9dcfd12,1000023845,80656,178,5,115,0,0,15,225,476000681,45473,100486,500,135,908712
f1e3dd863c0d5224955ceadb2df0c25e3650cc9997098c13cd92be882ad8793c,700042537,55774,132,4,200,3,371,14,261,209910860,142281,198462,404,152,368532
59f98250d0f78d8d15377de20d195958518af6e3b6ca93025c21867f0983d686,800046580,101260,153,8,100,7,524,8,730,687453132,87196,141959,448,164,99736
ec4b32321658589249d81a21670b16f38b80e17b1ed6d301c058ea9493800968,900390608,542920,208,16,1799,0,0,16,1026,477044171,40253,87794,558,135,141760
e4bdca6ab6ceb95879cecf9259660a8abaa91fb81e332c98274f0af30be549f2,600023951,60872,69,4,100,3,585,11,536,339458800,87722,52326,815,128,596120
b6b6598bcd1fa059ba5bde6a8c88cde6ef0e829d0f5f422ded44e2309e9e7e59,700045717,153924,259,6,154,0,0,7,833,682284676,219069,160295,311,70,794936
3b1eb5fdd250391156872ae0a3ebd126e0949351758acb6459d2f0492c496fe9,1200277212,365048,178,4,1236,2,1872,24,449,339408661,106862,105073,318,77,804908
05925406f34d7f433fc2274b99f0c67ae0647feaa5d3fa968b97fa92fe7917f7,700024987,48183,227,17,105,0,0,9,128,312390776,162325,107500,315,128,383076
